ICAO Code,Classification,Category,Wing Span(m),Length(m),Height(m),MTOW(t),Fuel Capacity(ltr),Maximum Range(Nm),Persons On Board,Take Off Distance(m),Landing Distance(m),Absolute Ceiling(x100ft),Optimum Ceiling(x100ft),Maximum Speed(kts / M),Optimum Speed(kts / M),Maximum Climb Rate(ft / min),List of Manufacturers
ALO3,H1T,L/G,-,12.5,3,2.1,570,310,7,,,180,150,113,100,880,"['AEROSPATIALE SA-316 Alouette 3', 'AEROSPATIALE SA-319 Alouette 3', 'F+W EMMEN SE-3160 Alouette 3', 'HINDUSTAN SA-316 Chetak', 'HINDUSTAN SA-316 Chetan', 'HINDUSTAN SE-3160 Chetak', 'ICA IAR-316 Alouette 3', 'LICHTWERK SE-3160 Alouette 3', 'SUD SA-316 Alouette 3', 'SUD SA-319 Alouette 3', 'SUD SE-3160 Alouette 3']"
ALPI,L1P,L/G,10.9,7.1,1.9,1.1,,250,4,,,110,80,117,,700,"['AUSTER J-5Q Alpine', 'AUSTER J-5R Alpine']"
ALSL,L1P,L/G,9,6.7,2,0.5,84,620,,,,,,134,100,1100,['AIRLONY Skylane']
ALTO,L1P,L/G,7.7,6.4,1.8,0.5,105,,2,135,150,120,100,,108,1000,['DIRECT FLY Alto']
AM3,L1P,L/G,11.7,8.7,2.7,1.7,240,530,3,,,275,,150,132,1050,"['AERFER-AERMACCHI AM-3', 'AERITALIA-AERMACCHI AM-3', 'ATLAS AM-3 Bosbok']"
AMX,L1J,M/G,10,13.7,4.5,13.4,4400,1670,2,1440,750,430,390,560 / .86,414,9200,"['AERITALIA AMX Ghibli', 'AERMACCHI AMX Ghibli', 'ALENIA AMX Ghibli', 'AMX A-1', 'AMX AMX', 'AMX AMX Ghibli', 'EMBRAER A-1', 'EMBRAER AMX']"
AN12,L4T,M/D,38,33.1,10.5,61,22000,3070,16-90,1500,1800,390,370,420,361,,"['ANTONOV An-12', 'SHAANXI Y-8']"
AN2,L1P,L/G,18.1,12.7,6.1,5.5,1200,480,12,300,320,150,120,139,,690,"['AICSA An-2', 'ANTONOV An-2', 'NANCHANG Y-5', 'PZL-MIELEC An-2 Antek', 'SHIJIAZHUANG Y-5']"
AN22,L4T,H/B,64.4,57.9,12.5,250,,2690,35,2200,1600,330,260,400 / .60,286,1500,['ANTONOV An-22 Antheus']
AN24,L2T,M/E,29.2,23.5,8.3,21,7000,290,50,1750,1590,275,180,269,242,1500,"['ANTONOV An-24', 'XIAN Y-7-100', 'XIAN Y-7-200', 'XIAN Y-7E']"
AN26,L2T,M/E,29.2,23.8,8.6,23,6800,1430,50,1240,1740,270,130,234,214,1600,"['ANTONOV An-26', 'XIAN Y-7H']"
AN28,L2T,L/G,22,13,4.6,7,2400,270,20,370,590,300,240,189,181,2000,"['ANTONOV An-28', 'PZL-MIELEC An-28', 'PZL-MIELEC An-28 Bryza', 'PZL-MIELEC M-28 Bryza (TWD-10 engines)']"
AN3,L1T,L/G,18.1,13.4,4,5.8,,480,20,500,,145,120,156,124,900,['ANTONOV An-3']
AN30,L2T,M/E,29.2,24.2,8.3,23,1600,1400,7,800,700,310,290,291,286,2000,['ANTONOV An-30']
AN32,L2T,M/E,29.2,23.8,8.5,27,5450,1180,50,1240,1700,260,240,286,248,1000,"['ANTONOV An-32', 'ANTONOV An-32 Firekiller', 'ANTONOV An-32 Sutlej']"
AN38,L2T,M/G,22,15.6,5,9.9,2870,430,29,800,500,300,270,205,183,,['ANTONOV An-38']
AN70,L4T,M/D,44,40.7,16.3,130,38000,730,305,1800,2200,400,350,480,431,,['ANTONOV An-70']
AN72,L2J,M/E,31.9,28,8.6,34.5,13000,2320,70,1170,1800,350,310,330 / .50,323,,"['ANTONOV An-72', 'ANTONOV An-74-100', 'ANTONOV An-74-200']"
AN8,L2T,M/D,37,30.7,10,41,,1835,76,,,320,300,280,242,2000,['ANTONOV An-8']
ANGL,L2P,L/G,12.1,10.2,3.5,2.6,850,1700,6,430,320,200,170,180,169,1300,"['ANGEL 44 Angel', ""KING'S 44 Angel""]"
ANKA,L1P,L/Z,17.3,8,3.4,1.6,,780,-,,,300,,117,110,,['TAI Anka']
ANSN,L2P,L/G,17.2,12.8,4,3.6,,790,8,,,190,150,163,138,750,['AVRO 652 Anson']
ANST,H2T,L/G,-,13.6,3.4,3.3,700,340,11,,,190,150,148,135,3150,['KAZAN Ansat']
AP20,L1P,L/G,11.4,6.7,1.8,0.5,38,210,2,80,,140,100,86,76,980,"['AEROPRAKT A-20', 'AEROPRAKT A-20 Sky Cruiser', 'AEROPRAKT A-20 Super Cruiser', 'AEROPRAKT A-20 Varlet', 'AEROPRAKT A-20 Vista', 'AEROPRAKT SA-20 Vista']"
AP22,L1P,L/G,9.5,6.2,2.4,0.5,90,500,2,80,60,160,120,102,95,1200,"['AEROPRAKT A-22', 'AEROPRAKT A-22 Foxbat', 'AEROPRAKT A-22 Valor', 'AEROPRAKT A-22 Vision', 'AEROPRAKT A-22 Sharik', 'AEROPRAKT A-22 Kelpie']"
AP24,A1P,L/G,11,7.1,2.4,0.8,87,430,3,200,150,140,100,89,76,780,['AEROPRAKT A-24 Viking']
AP26,L2P,L/G,11.4,6.7,1.9,0.6,38,330,2,100,,140,,97,70,1900,"['AEROPRAKT A-26 Twin Vista', 'AEROPRAKT SA-26 Twin Vista']"
AP28,L2P,L/G,12.1,7,2.3,1,180,800,4,95,110,140,100,130,81,980,"['AEROPRAKT A-28 Victor', 'AEROPRAKT SA-28 Victor']"
AP32,L1P,L/G,9.4,6.2,2.2,0.6,95,470,2,230,244,150,100,125,115,,['AEROPRAKT A-32 Vixxen']
AP36,L2P,L/G,11,7.1,2.3,0.8,140,520,2,,,150,130,90,75,2100,['AEROPRAKT A-36 Vulcan']
APM2,L1P,L/G,8.6,6.6,2.4,0.6,70,360,2,500,470,150,100,124,113,660,"['ISSOIRE APM-20 Lionceau', 'ISSOIRE APM-21 Lion', 'MONIOT APM-20 Lionceau', 'MONIOT APM-21 Lion']"
APM3,L1P,L/G,8.6,6.6,2.4,0.7,70,,3,,,140,100,143,110,700,['ISSOIRE APM-30 Lion']
APM4,L1P,L/G,8.6,7.7,,1,,380,4,,,,,,120,,['ISSOIRE APM-40 Simba']
APUP,L1P,L/G,8.2,6,,0.6,54,,2,150,,140,100,130,,1000,"['AEROPUP Aeropup', 'SUPAPUP Aeropup']"
AR11,L1P,L/G,11,6.3,2.7,0.6,87,320,2,219,243,145,100,95,72,500,"['AERONCA 11 Chief', 'HINDUSTAN HUL-26 Pushpak']"
AR15,L1P,L/G,11.5,7.8,2.1,1,150,396,4,274,,130,100,112,99,800,['AERONCA 15 Sedan']
AR50,L1P,L/G,10.9,6.4,1.9,0.6,45,220,2,,,140,70,87,78,550,['AERONCA 50 Chief']
AR5T,L1P,L/G,10.9,6.4,1.9,0.6,45,220,2,,,140,70,87,78,550,['AERONCA 50 Tandem']
AR65,L1P,L/G,10.9,6.4,2.7,0.6,,220,2,,,150,80,91,85,650,['AERONCA 65 Super Chief']
AR6T,L1P,L/G,10.9,6.4,2.7,0.6,,220,2,,,150,80,91,85,650,"['AERONCA 60 Tandem', 'AERONCA 65 Tandem', 'AERONCA 65 Defender', 'AERONCA YO-58 Grasshopper', 'AERONCA O-58 Grasshopper', 'AERONCA L-3 Grasshopper']"
AR79,L1P,L/G,10,7.6,2.1,0.8,120,550,2,180,,150,,124,110,780,['ARADO Ar-79']
ARCE,L1E,L/G,20,8.7,,0.9,-,,2,,,,70,145,,,['SCHEMPP-HIRTH Arcus E']
ARCP,L1P,L/G,20,8.7,,0.8,19,180,2,,,,,150,,,"['SCHEMPP-HIRTH Arcus T', 'SCHEMPP-HIRTH Arcus M']"
ARES,L1J,L/G,10.6,8.9,3,2.7,770,600,1,,,350,330,404,366,,"['RUTAN 151 Ares', 'SCALED 151 Ares']"
ARKS,L1P,L/G,8,6.5,2.4,0.6,110,670,2,750,450,120,100,140,130,1400,"['ACEAIR A-200 Aeriks 200', 'ACEAIR A-200 Aeris 200']"
ARON,L1P,L/G,9.7,7.4,,1.1,245,1000,4,460,450,190,160,180,,1400,['GENERAL AVIA F-220 Airone']
ARV1,L1P,L/G,9,5.4,2.3,0.6,40,300,2,120,,100,80,119,,800,"['ARV ARV-1 Super 2', 'ASL ARV-1 Opus 280', 'AVIATION SCOTLAND ARV-1 Super 2', 'HIGHLANDER Highlander', 'ISLAND AIRCRAFT ARV-1 Super 2', 'SKYCRAFT ARV Super 2']"
ARVA,L2T,L/G,20.9,13,5.2,6.8,3700,540,19-24,463,469,250,210,176,168,1300,"['IAI 101 Arava', 'IAI 102 Arava', 'IAI 201 Arava', 'IAI 202 Arava']"
ARWF,L1P,L/G,11.1,6.5,2.7,0.8,76,260,2,,,120,,87,78,800,['ARROW (1) F Sport']
AS02,L1P,L/G,9.7,7.5,2.8,1,170,480,3,400,465,,140,130,110,800,"['FFA AS-202-15 Bravo', 'FFA AS-202-18 Bravo', 'FFA AS-202-18 Wren', 'FFA AS-202-26 Bravo']"
AS14,L1P,L/G,14.3,6.6,1.5,0.4,,,2,,,,,,37,,['SCHLEICHER ASK-14']
AS16,L1P,L/G,16,7.3,2,0.8,,,,230,,,,110,90,500,['SCHLEICHER ASK-16']
AS20,L1P,L/G,15,6.8,1.1,0.5,,,,,,,,,,,['SCHLEICHER ASW-20TOP']
AS21,L1P,L/G,17,8.3,1.5,0.7,26,300,2,250,,,,151,75,570,['SCHLEICHER ASK-21Mi']
AS22,L1P,L/G,26.5,8.1,1.6,0.8,12,,1,,,,,151,,,"['SCHLEICHER ASW-22BE', 'SCHLEICHER ASW-22BLE', 'SCHLEICHER ASW-22M']"
AS24,L1P,L/G,15,6.5,1.3,0.5,,,1,,,,,130,,,"['SCHLEICHER ASW-24E', 'SCHLEICHER ASW-24TOP']"
AS25,L1P,L/G,26,9,1.7,0.8,,,2,,,,,151,,,"['BINDER (2) ASH-25EB', 'BINDER (2) EB-28', 'SCHLEICHER ASH-25E', 'SCHLEICHER ASH-25M', 'SCHLEICHER ASH-25Mi', 'SCHLEICHER ASH-25SL']"
AS26,L1P,L/G,18,7,1.5,0.5,16,360,1,,,,,146,,670,['SCHLEICHER ASH-26E']
AS28,L1P,L/G,18,6.5,1.3,0.6,,,1,,,,,145,,,['SCHLEICHER ASW-28E']
AS29,L1P,L/G,18,6.6,1.3,0.6,,,1,,,,,100,,,"['SCHLEICHER ASW-27-18E', 'SCHLEICHER ASG-29E', 'SCHLEICHER ASG-29Es']"
AS2T,L1T,L/G,9.8,7.5,2.8,,,,,,,170,130,,110,780,['FFA AS-202-32TP Turbine Bravo']
AS30,L1P,L/G,26.5,,,0.9,,,2,,,,,,,,['SCHLEICHER ASH-30Mi']
AS31,L1P,L/G,21,,,,16,,2,,,,,100,,,['SCHLEICHER ASH-31Mi']
AS32,H2T,M/G,-,15.5,4.9,7.6,1540,360,20,,,195,100,156,140,1700,"['AEROSPATIALE AS-332B1 Super Puma', 'AEROSPATIALE AS-332B Super Puma', 'AEROSPATIALE AS-332C Super Puma', 'AEROSPATIALE AS-332F1 Super Puma', 'AEROSPATIALE AS-332L1 Super Puma', 'AEROSPATIALE AS-332L Super Puma', 'AEROSPATIALE AS-332L Tiger', 'AEROSPATIALE AS-332M1 Super Puma', 'AEROSPATIALE AS-332M Super Puma', 'AEROSPATIALE AS-532SC Cougar', 'AEROSPATIALE AS-532UC Cougar', 'AEROSPATIALE AS-532UL Cougar', 'AEROSPATIALE Hkp10 Super Puma', 'AIRBUS HELICOPTERS AS-332L1 Super Puma', 'AIRBUS HELICOPTERS AS-332C Super Puma', 'AIRBUS HELICOPTERS AS-532AL Cougar', 'ATLAS SA-330 Oryx', 'CASA AS-332 Super Puma', 'CASA AS-532 Cougar', 'DIRGANTARA NAS-332 Super Puma', 'EUROCOPTER AS-332L1 Super Puma', 'EUROCOPTER AS-332M1 Super Puma', 'EUROCOPTER AS-532AL Cougar', 'EUROCOPTER AS-532SC Cougar', 'EUROCOPTER AS-532UC Cougar', 'EUROCOPTER AS-532UL Cougar', 'EUROCOPTER Hkp10 Super Puma', 'EUROCOPTER AS-332C Super Puma', 'NURTANIO NAS-332 Super Puma', 'NUSANTARA NAS-332 Super Puma', 'RUAG AS-532 Cougar', 'SF AS-532 Cougar', 'SINGAPORE AS-332 Super Puma', 'TAI AS-532 Cougar']"
AS3B,H2T,M/G,-,15.5,4.9,7.6,1540,360,20,,,195,100,156,140,1700,"['AEROSPATIALE AS-332L2 Super Puma Mk2', 'AEROSPATIALE AS-532A2 Cougar Mk2', 'AEROSPATIALE AS-532U2 Cougar Mk2', 'EUROCOPTER AS-332L2 Super Puma Mk2', 'EUROCOPTER AS-532A2 Cougar Mk2', 'EUROCOPTER AS-532U2 Cougar Mk2']"
AS50,H1T,L/G,-,10.9,3.1,2.1,540,390,5,,,160,120,146,135,1200,"['AEROSPATIALE AS-350 AStar', 'AEROSPATIALE AS-350 Ecureuil', 'AEROSPATIALE AS-350 SuperStar', 'AEROSPATIALE AS-550 Fennec', 'AIRBUS HELICOPTERS AS-350 Ecureuil', 'AIRBUS HELICOPTERS AS-350 SuperStar', 'AIRBUS HELICOPTERS AS-550 Fennec', 'AIRBUS HELICOPTERS H-125 Ecureuil', 'AIRBUS HELICOPTERS H-125 SuperStar', 'AIRBUS HELICOPTERS H-125 Fennec', 'AVICOPTER AC-301', 'CHANGHE Z-11', 'EUROCOPTER AS-350 AStar', 'EUROCOPTER AS-350 Ecureuil', 'EUROCOPTER AS-350 SuperStar', 'EUROCOPTER AS-550 Fennec', 'EUROCOPTER AS-350 Stylence', 'EUROCOPTER AS-350 Squirrel', 'HELIBRAS HA-1 Esquilo', 'HELIBRAS HB-350 Esquilo', 'HELIBRAS UH-12 Esquilo', 'HELIBRAS H-50 Esquilo', 'LOT AS-350 Ecureuil']"
AS55,H2T,L/G,-,10.9,3.1,2.6,730,390,6,,,135,110,121,,1300,"['AEROSPATIALE AS-355 Ecureuil 2', 'AEROSPATIALE AS-355 TwinStar', 'AEROSPATIALE AS-555 Fennec', 'AIRBUS HELICOPTERS AS-355 Ecureuil 2', 'EUROCOPTER AS-355 Ecureuil 2', 'EUROCOPTER AS-355 TwinStar', 'EUROCOPTER AS-555 Fennec', 'EUROCOPTER AS-355 Stylence', 'EUROCOPTER AS-355 Twin Squirrel', 'HELIBRAS CH-55 Esquilo', 'HELIBRAS HB-355 Esquilo', 'HELIBRAS UH-13 Esquilo', 'HELIBRAS VH-55 Esquilo']"
AS65,H2T,L/G,-,12.1,4,,1135,430,3,,,155,80,148,137,1570,"['AEROSPATIALE AS-365 Dauphin 2', 'AEROSPATIALE AS-366 Dolphin', 'AEROSPATIALE AS-565 Panther', 'AEROSPATIALE HH-65 Dolphin', 'AEROSPATIALE SA-365F Dauphin 2', 'AEROSPATIALE SA-365K Panther', 'AEROSPATIALE SA-365M Panther', 'AEROSPATIALE SA-365N Dauphin 2', 'AEROSPATIALE SA-366 Dolphin', 'AIRBUS HELICOPTERS AS-365 Dauphin 2', 'AIRBUS HELICOPTERS AS-565 Panther', 'EUROCOPTER AS-365 Dauphin 2', 'EUROCOPTER AS-565 Atalef', 'EUROCOPTER AS-565 Panther', 'EUROCOPTER HM-1 Panther', 'HARBIN H-410 Haitun', 'HARBIN H-425 Haitun', 'HARBIN WZ-9 Haitun', 'HARBIN Z-9 Haitun', 'HELIBRAS AS-365 Dauphin 2', 'HELIBRAS AS-565 Panther', 'HELIBRAS HM-1 Panther', 'VOUGHT SA-366 Panther 800']"
AS80,L1P,L/G,10,6.6,1.9,0.6,,170,2,,,180,150,85,77,,['STARCK AS-80 Holiday']
ASO4,L1P,L/G,8.2,6.4,2.1,0.5,70,700,2,100,130,160,120,200,170,1000,"['ASSO AEREI Asso 4 Whisky', 'PCV Asso 4 Whisky', 'VIDOR Asso 4 Whisky']"
ASTO,L1P,L/G,8.6,7,2.3,0.6,110,670,2,200,,150,,132,120,1200,['TECNAM Astore']
ASTR,L2J,M/G,16,16.9,5.5,10.6,5400,2720,,1650,830,450,390,465,396,3600,"['GULFSTREAM AEROSPACE Gulfstream G100', 'IAI 1125 Astra', 'IAI 1125 Gulfstream G100', 'IAI C-38 Astra']"
AT2P,L1P,L/G,12.5,8.2,2.6,4,817,550,1,400,,150,120,135,124,1100,['AIR TRACTOR AT-250']
AT3,L2J,M/G,10.4,12.9,4.3,12.7,1270,1200,2,450,610,465,390,488,476,10000,['AIDC AT-3 Tzu-Chung']
AT3P,L1P,L/G,15.5,8.2,2.6,4,817,550,1,400,,150,120,135,124,1100,"['AIR TRACTOR AT-300', 'AIR TRACTOR AT-301', 'AIR TRACTOR AT-401']"
AT3T,L1T,L/G,15.5,9.3,2.9,4.1,640,550,1,250,,150,120,174,142,1600,"['AIR TRACTOR AT-302', 'AIR TRACTOR AT-400', 'AIR TRACTOR AT-402']"
AT43,L2T,M/F,24.6,22.7,7.5,16.7,5700,2400,42-50,1090,1030,250,220,265,245,1800,"['ATR ATR-42-300', 'ATR ATR-42-320']"
AT44,L2T,M/F,24.6,22.7,7.5,17,5700,,42-50,1205,1030,250,220,265,242,1800,"['ATR ATR-42-400', 'ATR ATR-42-400 Surveyor']"
AT45,L2T,M/F,24.6,22.7,7.5,18.6,5600,1000,42-50,1475,1095,250,230,303,255,2100,"['ATR ATR-42-500', 'ATR ATR-42-500 Surveyor']"
AT46,L2T,M/F,24.6,22.7,7.5,18.6,4500,842,48-50,1165,1126,250,230,300,,2000,['ATR ATR-42-600']
AT5P,L1P,L/G,15.2,9.9,3,4,820,,2,,,140,100,136,,1080,['AIR TRACTOR AT-501']
AT5T,L1T,L/G,15.8,10.1,3.1,4.3,640,430,2,720,750,130,100,156,136,1180,"['AIR TRACTOR AT-502', 'AIR TRACTOR AT-503', 'AIR TRACTOR AT-504']"
AT6T,L1T,L/G,17,10.4,3.3,5.6,817,,2,,,140,100,162,130,800,['AIR TRACTOR AT-602']
AT72,L2T,M/F,27.1,27.2,7.6,21.5,6250,1200,64-72,1408,1210,250,220,284,248,1800,"['ATR ATR-72-201', 'ATR ATR-72-202']"
AT73,L2T,M/F,27.1,27.2,7.6,21.5,6250,1200,66-74,1408,1210,250,220,284,248,,"['ATR ATR-72-211', 'ATR ATR-72-212']"
AT75,L2T,M/F,27,27.1,7.6,22.5,5000,890,68-74,1165,1067,,250,276,,,"['ATR ATR-72-500', 'ATR ATR-72-212A (500)']"
AT76,L2T,M/F,27,27.1,7.6,23,5700,890,68-74,1100,920,,210,310,,,"['ATR ATR-72-600', 'ATR ATR-72-212A (600)', 'ATR ATR P-72']"
AT8T,L1T,L-M/G,18,10.9,3.8,7.2,960,690,2,610,,130,100,182,170,800,"['AIR TRACTOR AT-802', 'AIR TRACTOR AT-802 Fire Boss']"
ATAC,L1P,L/G,6.1,5.1,,0.6,180,870,1,,,250,120,213,190,3000,['AIRCRAFT TECHNOLOGIES Acro 1']
ATG1,L2J,L/G,7.6,11.3,3,2.3,1250,1200,2,,,490,450,528,425,9000,['ATG ATG-1 Javelin']
ATIS,L1P,L/G,7.4,6,1.5,0.8,220,900,2,,,,,221,156,1270,['AIRCRAFT TECHNOLOGIES Atlantis']
ATL,L1P,L/G,10.3,6.7,2,0.5,50,430,,320,240,150,100,,88,550,['ROBIN ATL']
ATLA,L2T,M/D,36.3,31.7,11.3,43.5,23120,4300,12,1840,1500,330,250,355,300,,"['BREGUET 1150 Atlantic', 'DASSAULT 1150 Atlantic', 'DASSAULT Atlantique 2']"
ATP,L2T,M/E,30.6,26,7.5,23.6,6360,800,64-72,1330,1130,290,250,266,236,3000,"['BRITISH AEROSPACE ATP', 'JETSTREAM 61']"
ATTL,L1P,L/G,10.9,,,0.5,25,290,2,,,,,86,,800,['EURONEF ATTL-1']
AU11,L1P,L/G,11.1,7.2,2.7,1.1,,230,3,,,190,150,110,95,930,['BEAGLE-AUSTER E-3 Auster AOP11']
AUJ2,L1P,L/G,10.2,7.1,2.5,,,400,2,270,290,310,240,100,83,,['AUSTER J-2 Arrow']
AUJ4,L1P,L/G,11,6.8,2,0.8,,220,3,,,150,100,130,,800,['AUSTER J-4 Archer']
AUS3,L1P,L/G,10.9,6.8,2.4,0.9,,250,3,,,150,100,113,94,700,"['TAYLORCRAFT (2) Auster 3', 'TAYLORCRAFT (2) E']"
AUS4,L1P,L/G,11,6.8,2.4,0.9,,250,3,,,140,100,90,,,"['TAYLORCRAFT (2) Auster 4', 'TAYLORCRAFT (2) G']"
AUS5,L1P,L/G,10.9,7.1,1.9,1.1,,250,4,,,110,80,117,,700,"['AUSTER Auster 5', 'AUSTER Auster 5 Alpha', 'AUSTER J', 'TAYLORCRAFT (2) Auster 5', 'TAYLORCRAFT (2) Auster 5 Alpha', 'TAYLORCRAFT (2) J']"
AUS6,L1P,L/G,11,7.2,2.6,1,,275,3,,,140,100,108,94,,"['AUSTER 6A', 'AUSTER Auster AOP6', 'AUSTER K', 'BEAGLE 6A', 'BEAGLE A-61 Terrier', 'BEAGLE A-61 Tugmaster', 'BEAGLE-AUSTER 6A', 'BEAGLE-AUSTER A-61 Terrier', 'BEAGLE-AUSTER A-61 Tugmaster', 'TAYLORCRAFT (2) Auster AOP6', 'TAYLORCRAFT (2) K']"
AUS7,L1P,L/G,11,7.2,2.6,1,,275,2,,,140,100,108,94,,"['AUSTER Auster T7', 'AUSTER Q']"
AUS9,L1P,L/G,11.1,7.2,2.7,1.1,,230,3,,,195,150,110,95,930,"['AUSTER Auster AOP9', 'AUSTER B5']"
AV68,L1P,L/G,16.7,7.6,1.3,0.7,70,270,2,230,,,,116,102,700,"['ALPLA AVO-68 Samburo', 'M & D FLUGZEUGBAU AVO-68 Samburo', 'NITSCHE AVO-68 Samburo']"
AVAM,A1P,L/G,11,5.9,1.7,0.6,70,260,2,80,90,125,,,60,900,"['AVID Avid Amphibian', 'AVID Catalina', 'LIGHT AERO Avid Amphibian']"
AVID,L1P,L/G,9.1,5.5,1.8,0.7,68,490,2,250,,120,100,117,,1200,"['AIRDALE Avid Flyer', 'AIRDALE Flyer', 'AVID Avid Commuter', 'AVID Avid Flyer', 'INDAER PERU IAP-001 Chuspi', 'INDAER PERU IAP-002 Ag-Chuspi', 'LIGHT AERO Avid Flyer', 'YALO Avid Flyer']"
AVIN,L1P,L/G,8.5,7.4,2.6,0.7,,340,2,,,130,125,88,75,650,"['AVRO 594 Avian', 'AVRO 616 Avian']"
AVK4,L2T,L/G,10.7,12,3.5,2.9,455,1900,9,387,326,430,390,364,334,4520,['AVTEK 400']
AVLN,A1T,L/G,13.4,9.7,3.8,1.5,575,900,6,244,200,270,,,174,2200,['AIRMASTER Avalon 680']
AVTR,A1P,L/G,9.3,7,2.1,0.6,45,120,2,75,,130,100,78,60,500,"['AERO ADVENTURE Aventura 2', 'ARNET PEREYRA Aventura 2']"
B06,H1T,L/G,-,10.1,3.1,1.4,345,320,5,,,170,150,130,118,1280,"['AGUSTA AB-206 JetRanger', 'AGUSTA AB-206 LongRanger', 'AGUSTA Hkp6 JetRanger', 'BELL 206A JetRanger', 'BELL 206B JetRanger', 'BELL 206L LongRanger', 'BELL 406', 'BELL 406 Combat Scout', 'BELL CH-136', 'BELL CH-139', 'BELL COH-58', 'BELL OH-58 Kiowa', 'BELL OH-58 Kiowa Warrior', 'BELL TH-57 SeaRanger', 'BELL TH-67 Creek', 'BELL TH-206', 'BELL VH-4 JetRanger', 'COMMONWEALTH (1) BA-206 Kiowa', 'COMMONWEALTH (1) CA-32 Kiowa', 'PANHA 2061']"
B06T,H2T,L/G,-,9.5,2.9,1.5,370,330,7,,,190,150,116,,1540,"['BELL 206LT TwinRanger', 'TRIDAIR 206L-ST Gemini ST']"
B1,L4J,H/C,41.7,44.8,10.3,216.4,,7000,4,1700,1500,500,410,/ 2.00,650,3000,['ROCKWELL B-1 Lancer']
B103,A2P,L/G,12.7,10.6,3.7,2.2,450,630,6,440,240,170,150,130,120,,['BERIEV Be-103 Bekas']
B105,H2T,L/G,-,8.5,3,2.5,320,550,5,,,140,80,145,132,1460,"['BOLKOW BO-105', 'CASA BO-105', 'CASA HR-15', 'DIRGANTARA NBO-105', 'EUROCOPTER BO-105', 'EUROCOPTER BO-105 Super Five', 'KOREA AEROSPACE BO-105', 'MBB BO-105', 'MBB BO-105 Twin Jet', 'MBB Hkp9', 'MESSERSCHMITT-BOLKOW BO-105', 'NURTANIO NBO-105', 'NUSANTARA NBO-105', 'PADC BO-105']"
B13,L1P,L/G,23.2,8.5,0.9,0.7,20,,2,,,,,135,,,['AKAFLIEG BERLIN B-13']
B14A,L1P,L/G,10.4,7,1.9,1.1,150,430,4,390,350,215,170,178,,1030,"['BELLANCA 14 Cruisair', 'BELLANCA 14 Cruisair Senior', 'BELLANCA 14 Cruisemaster', 'BELLANCA 14 Junior', 'DOWNER 14 Cruisemaster', 'NORTHERN 14 Cruisemaster']"
B14B,L1P,L/G,10.4,7,1.9,1.3,150,590,4,320,350,225,170,181,177,1500,['DOWNER 14 Bellanca 260']
B14C,L1P,L/G,10.4,7.1,2,1.3,220,590,1+3,300,250,225,170,181,177,,"['BELLANCA 14 Bellanca 260A', 'BELLANCA 14 Bellanca 260B', 'BELLANCA 14 Bellanca 260C', 'DOWNER 14 Bellanca 260A', 'INTER-AIR 14 Bellanca 260A', 'INTER-AIR 14 Bellanca 260B', 'INTER-AIR 14 Bellanca 260C']"
B150,H1T,L/G,-,9,2.7,0.7,160,,2,,,140,80,90,,1200,['WINNER B-150']
B17,L4P,M/E,31.8,22.5,5.7,27.2,10600,910,10,,,350,310,260,147,900,['BOEING B-17 Flying Fortress']
B18T,L2T,L/G,14,13.4,2.9,4.5,,590,15,,,240,200,204,191,1400,"['BEECH 18 (turbine)', 'HAMILTON Westwind 2', 'HAMILTON Westwind 3', 'VOLPAR Turbo 18', 'VOLPAR Turboliner']"
B190,L2T,M/G,17.7,17.6,4.7,7.5,2600,1240,19,1140,844,330,290,,265 / .40,2400,"['BEECH 1900', 'BEECH C-12J', 'RAYTHEON 1900']"
B2,L4J,H/C,52.4,21,5.1,170,90000,6600,2,,1500,500,410,,450 / .78,,"['NORTHROP B-2 Spirit', 'NORTHROP GRUMMAN B-2 Spirit']"
B209,L1P,L/G,8.4,6.6,2.2,0.8,,,2,,,180,80,130,110,1100,"['BOLKOW BO-209 Monsun', 'MBB BO-209 Monsun', 'MESSERSCHMITT-BOLKOW BO-209 Monsun']"
B212,H2T,L/G,-,17.1,4.5,5,1490,220,15,,,150,100,130,,1420,"['AGUSTA AB-212', 'BELL 212', 'BELL 212 Twin Two-Twelve', 'BELL UH-1N', 'BELL VH-1']"
B214,H1T,M/G,-,15,4.8,7.9,770,550,20,,,160,100,143,,1780,"['BELL 214A Isfahan', 'BELL 214B', 'BELL 214C BigLifter']"
B222,H2T,L/G,-,11,3.5,3.7,930,390,8,,,200,100,135,130,1730,['BELL 222']
B23,L2P,M/G,28,17.7,5.6,14.7,,1200,6,,,310,220,230,180,,"['DOUGLAS B-23 Dragon', 'DOUGLAS UC-67 Dragon']"
B230,H2T,L/G,-,12.8,3.2,3.8,935,300,8,,,155,100,141,138,1700,['BELL 230']
B23E,L1E,L/G,9.2,6.5,2.3,0.9,-,120,2,469,329,,,117,98,800,['BRM AERO Bristell B23 Energic']
B24,L4P,M/D,33.5,20.5,5.9,29.4,8870,1720,11,,,280,250,260,200,1000,"['CONSOLIDATED B-24 Liberator', 'CONSOLIDATED C-87 Liberator Express', 'CONSOLIDATED LB-30 Liberator', 'CONVAIR B-24 Liberator', 'CONVAIR C-87 Liberator Express']"
